Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-14,Shōgun,2024,https://boxd.it/82HA1d,4.5,,,2024-12-09
2024-12-18,Secret Level - Dungeons & Dragons: The Queen's Cradle,2024,https://boxd.it/851Fgb,3.5,,,2024-12-10
2024-12-18,Secret Level - New World: The Once and Future King,2024,https://boxd.it/851Tkh,2.5,,,2024-12-10
2024-12-18,Secret Level - Unreal Tournament: Xan,2024,https://boxd.it/8525qV,4,,,2024-12-10
2024-12-18,"Secret Level - Warhammer 40,000: And They Shall Know No Fear",2024,https://boxd.it/852mHf,4.5,,,2024-12-10
2024-12-18,Secret Level - PAC-MAN: Circle,2024,https://boxd.it/852y3h,3,,,2024-12-10
2024-12-18,Secret Level - Armored Core: Asset Management,2024,https://boxd.it/852Tvh,4,,,2024-12-10
2024-12-14,Secret Level - Sifu: It Takes a Life,2024,https://boxd.it/82HA0J,4,,,2024-12-11
2024-12-18,Secret Level - Crossfire: Good Conflict,2024,https://boxd.it/852KTf,2.5,,,2024-12-11
2024-12-14,Ex Machina,2015,https://boxd.it/82HA0z,4,,,2024-12-13
2024-12-15,Heretic,2024,https://boxd.it/83bM8b,3.5,,,2024-12-15
2024-12-16,Venom: The Last Dance,2024,https://boxd.it/83Kt6b,2.5,,,2024-12-15
2024-12-17,Cuckoo,2024,https://boxd.it/84tfpX,2.5,,,2024-12-17
2024-12-18,Secret Level - The Outer Worlds: The Company We Keep,2024,https://boxd.it/8538qh,2.5,,,2024-12-18
2024-12-18,Secret Level - Mega Man: Start,2024,https://boxd.it/8539E5,2,,,2024-12-18
2024-12-18,Secret Level - Exodus: Odyssey,2024,https://boxd.it/853cQ9,3,,,2024-12-18
2024-12-18,Secret Level - Spelunky: Tally,2024,https://boxd.it/853rtT,2,,,2024-12-18
2024-12-18,Secret Level - Concord: Tale of the Implacable,2024,https://boxd.it/853uAX,2.5,,,2024-12-18
2024-12-19,Secret Level - Honor of Kings: The Way of All Things,2024,https://boxd.it/85JNgr,4,,,2024-12-19
2024-12-19,Secret Level - Playtime: Fulfillment,2024,https://boxd.it/85JVGR,2,,,2024-12-19
2025-01-01,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/8fuGpL,2.5,,,2024-12-31
2025-01-03,Hold Your Breath,2024,https://boxd.it/8htOaZ,2.5,,,2025-01-03
2025-01-06,The First Omen,2024,https://boxd.it/8kyQPd,4,,,2025-01-05
2025-01-07,Doctor Sleep,2019,https://boxd.it/8ltsmF,3.5,,,2025-01-06
2025-01-07,Oddity,2024,https://boxd.it/8lNqdr,4.5,,,2025-01-07
2025-01-08,28 Days Later,2002,https://boxd.it/8mF1dz,3.5,,,2025-01-08
2025-01-09,28 Weeks Later,2007,https://boxd.it/8o3z2d,3,,,2025-01-09
2025-01-10,Barbarian,2022,https://boxd.it/8oqPYN,3.5,,,2025-01-10
2025-01-13,No One Will Save You,2023,https://boxd.it/8rJfZb,4,,,2025-01-12
2025-01-14,Knock at the Cabin,2023,https://boxd.it/8sOCln,3,,,2025-01-14
2025-01-15,Kraven the Hunter,2024,https://boxd.it/8tKmIL,3.5,,,2025-01-15
2025-01-23,Eli,2019,https://boxd.it/8zM867,3,,,2025-01-23
